SurveyColNames	SimplifiedColNames	VariableFormat	Description
What one feature in the AnVIL do you appreciate the most?	FeatureMostAppreciated	character	"This question was only asked to returning AnVIL users. Possible answers include Access to controlled access datasets, WDL Workflows, Bioconductor & RStudio on AnVIL, Jupyter Notebooks on AnVIL, Galaxy on AnVIL, Terra on AnVIL, Dockstore for workflows/containers, Available Support, Other (with free text entry if Other is selected), or NA. NA applies to survey responses where this question wasn't asked."
What computational and storage resources do you foresee needing in the next 12 months? (Select all that apply)	NeededResources	character	"This select all question was only asked to returning AnVIL users. If multiple answers were selected, the answers will be comma separated. Possible answers include Many nodes, GPUs, Lots of storage (Terabytes), Large memory (>192 GB RAM), I don't know, Other (with free text entry if Other is selected), or NA. NA applies to survey responses where this question wasn't asked."
How likely are you to recommend the AnVIL to a colleague?	RecommendationLikelihood	double	"This question was only asked to returning AnVIL users. Possible answers include 1, 2, 3, 4, 5, or NA. 1 corresponds to Not at all likely; and 5 corresponds to Extremely likely. NA applies to survey responses where this question wasn't asked."
What is the highest degree you have attained?	Degrees	character	"This question was given to every survey taker, and more than one answer could be selected, if so, they would be separated by commas. Possible answers include High school or equivalent, Bachelor's degree, Master's degree in progress, Master's degree, PhD in progress, PhD, MD in progress, MD, Other (with free text entry if Other is selected)."
Which industry do you work in? (Select all that apply)	Industry	character	"This question was given to every survey taker, and more than one answer could be selected, if so, they would be separated by commas. Possible answers include Academia/University, Research Institute, Clinical/Hospital, Biotech (includes start up), Pharmaceutical, Government, Other (with free text entry if Other is selected)."
What kind of work do you do? (Check up to 2 that you do most often)	KindOfWork	character	"This question was given to every survey taker, and more than one answer could be selected, if so, they would be separated by commas. Possible answers include Computational work, Engineering work, Wet lab work, Clinical work, Computational education, Wet lab education, Project leadership, Project management, Program administration, Other (with free text entry if Other is selected). We asked for people to select up to 2, but several selected more than 2."
What institution are you affiliated with?	InstitutionalAffiliation	character	"This question was given to every survey taker, and was free response."
"Please list any relevant consortia affiliations (e.g., your consortium performs work or stores data on the AnVIL). Please enter NA if not relevant."	ConsortiaAffiliations	character	"This question was given to every survey taker, and was free response. Users were asked to reply with NA if not relevant. There are na and NA responses. If more than one consortium is listed, responders separated responses by commas, semicolons, ampersands, or the word and."
How would you rate your knowledge of or comfort with these technologies (separate from the AnVIL)? [Python]	AllTechPython	character	"This question was given to every survey taker about the tech in general, separate from its incorporation into AnVIL. There isn't a directly related question to the ReturningAnVILTech ones. Possible responses included Don't know it, Not at all comfortable, Slightly comfortable, Somewhat comfortable, Moderately comfortable, Extremely comfortable"
How would you rate your knowledge of or comfort with these technologies (separate from the AnVIL)? [Jupyter Notebooks]	AllTechJupyterNotebooks	character	"This question was given to every survey taker about the tech in general, separate from its incorporation into AnVIL. This is related to question ReturningAnVILTechJupyterNotebooks one. Possible responses included Don't know it, Not at all comfortable, Slightly comfortable, Somewhat comfortable, Moderately comfortable, Extremely comfortable"
How would you rate your knowledge of or comfort with these technologies (separate from the AnVIL)? [R]	AllTechR	character	"This question was given to every survey taker about the tech in general, separate from its incorporation into AnVIL. There isn't a directly related question to the ReturningAnVILTech ones. Possible responses included Don't know it, Not at all comfortable, Slightly comfortable, Somewhat comfortable, Moderately comfortable, Extremely comfortable"
How would you rate your knowledge of or comfort with these technologies (separate from the AnVIL)? [RStudio]	AllTechRStudio	character	"This question was given to every survey taker about the tech in general, separate from its incorporation into AnVIL. This is related to question ReturningAnVILTechRStudio one. Possible responses included Don't know it, Not at all comfortable, Slightly comfortable, Somewhat comfortable, Moderately comfortable, Extremely comfortable"
How would you rate your knowledge of or comfort with these technologies (separate from the AnVIL)? [Bioconductor]	AllTechBioconductor	character	"This question was given to every survey taker about the tech in general, separate from its incorporation into AnVIL. This is related to question ReturningAnVILTechRStudio one. Possible responses included Don't know it, Not at all comfortable, Slightly comfortable, Somewhat comfortable, Moderately comfortable, Extremely comfortable"
How would you rate your knowledge of or comfort with these technologies (separate from the AnVIL)? [Galaxy]	AllTechGalaxy	character	"This question was given to every survey taker about the tech in general, separate from its incorporation into AnVIL. This is related to question ReturningAnVILTechGalaxy one. Possible responses included Don't know it, Not at all comfortable, Slightly comfortable, Somewhat comfortable, Moderately comfortable, Extremely comfortable"
"How would you rate your knowledge of or comfort with these technologies (separate from the AnVIL)? [Workflows (e.g., WDL)]"	AllTechWorkflows	character	"This question was given to every survey taker about the tech in general, separate from its incorporation into AnVIL. This is related to question ReturningAnVILTechWDL one. Possible responses included Don't know it, Not at all comfortable, Slightly comfortable, Somewhat comfortable, Moderately comfortable, Extremely comfortable"
How would you rate your knowledge of or comfort with these technologies (separate from the AnVIL)? [Containers]	AllTechContainers	character	"This question was given to every survey taker about the tech in general, separate from its incorporation into AnVIL. This is related to question ReturningAnVILTechContainers one. Possible responses included Don't know it, Not at all comfortable, Slightly comfortable, Somewhat comfortable, Moderately comfortable, Extremely comfortable"
How would you rate your knowledge of or comfort with these technologies (separate from the AnVIL)? [Unix / Command Line]	AllTechCommandLine	character	"This question was given to every survey taker about the tech in general, separate from its incorporation into AnVIL. This is related to question ReturningAnVILTechCommandLine one. Possible responses included Don't know it, Not at all comfortable, Slightly comfortable, Somewhat comfortable, Moderately comfortable, Extremely comfortable"
What types of data do you or would you analyze using the AnVIL? (Select all that apply)	TypesOfData	character	"This question was given to every survey taker, and more than one answer could be selected, if so, they would be separated by commas. Possible answers include Genomes/exomes, Transcriptomes, Metagenomes, Proteomes, Metabolomes, Epigenomes, Structural, Single Cell, Imaging, Phenotypic, Electronic Health Record, Metadata, Survey, and Other (with free text entry if Other is selected). Other responses seem to be either very specific or something like not analyzing data on AnVIL."
How much experience do you have analyzing the following data categories? [Human genomic]	HumanGenomicExperience	character	"This question was given to every survey taker. Possible answers include Not at all experienced, Slightly experienced, Somewhat experienced, Moderately experienced, or Extremely experienced."
How much experience do you have analyzing the following data categories? [Non-human genomic]	NonHumanGenomicExperience	character	"This question was given to every survey taker. Possible answers include Not at all experienced, Slightly experienced, Somewhat experienced, Moderately experienced, or Extremely experienced."
How much experience do you have analyzing the following data categories? [Human clinical]	HumanClinicalExperience	character	"This question was given to every survey taker. Possible answers include Not at all experienced, Slightly experienced, Somewhat experienced, Moderately experienced, or Extremely experienced."
"How interested are you in working with controlled access datasets? (e.g., GTEx, CCDG)"	InterestControlledData	double	"This question was given to every survey taker. Possible answers include 1, 2, 3, 4, 5. 1 corresponds to Not at all interested. 5 corresponds to Extremely interested."
"What large, controlled access datasets do you access or would you be interested in accessing using the AnVIL? Those marked with an asterisk (*) are not currently available on the AnVIL due to policy restrictions. (Select all that apply)"	AccessWhichControlledData	character	"This question was asked to all survey takers and more than one answer could be selected. If multiple answers are selected, the answers are comma separated. Possible answers include All of Us*, Centers for Common Disease Genomics (CCDG), The Centers for Mendelian Genomics (CMG), Clinical Sequencing Evidence-Generating Research (CSER), Electronic Medical Records and Genomics (eMERGE), Gabriella Miller Kids First (GMFK), Genomics Research to Elucidate the Genetics of Rare Diseases (GREGoR), The Genotype-Tissue Expression Project (GTEx), The Human Pangenome Reference Consortium (HPRC), Population Architecture Using Genomics and Epidemiology (PAGE), Undiagnosed Disease Network (UDN), UK Biobank*, None, or Other (with free text entry if Other is selected)."
Have you attended a monthly AnVIL Demo? (Example)	AnVILDemo	character	"This question was given to every survey taker. Possible answers include Yes, multiple; Yes, one; No, but aware of; No, didn't know of; Not yet, but am registered to."
Have you ever read or posted in our AnVIL Support Forum? (Select all that apply)	AnVILSupportForum	character	"This question was given to every survey taker and more than one answer could be selected. If so, the answers would be separated by commas. Possible answers include Read through others' posts, Posted in, Answered someone's post, No, but aware of, No, didn't know of. Note that the No, but and No, didn't are part of the same answer and so need to do some data cleaning there to remove the commas before the rest of data cleaning."
Please rank how/where you would prefer to attend AnVIL training workshops. [On-site at my institution]	AnVILTrainingWorkshopsOnSite	list	"This question was given to every survey taker and possible answers include 1 (Most preferred in this list), 2, 3, 4, 5 (Least preferred in this list)."
Please rank how/where you would prefer to attend AnVIL training workshops. [Virtual]	AnVILTrainingWorkshopsVirtual	list	"This question was given to every survey taker and possible answers include 1 (Most preferred in this list), 2, 3, 4, 5 (Least preferred in this list)."
"Please rank how/where you would prefer to attend AnVIL training workshops. [Conference (e.g., CSHL, AMIA)]"	AnVILTrainingWorkshopsConference	list	"This question was given to every survey taker and possible answers include 1 (Most preferred in this list), 2, 3, 4, 5 (Least preferred in this list)."
Please rank how/where you would prefer to attend AnVIL training workshops. [AnVIL-specific event]	AnVILTrainingWorkshopsSpecEvent	list	"This question was given to every survey taker and possible answers include 1 (Most preferred in this list), 2, 3, 4, 5 (Least preferred in this list)."
Please rank how/where you would prefer to attend AnVIL training workshops. [Other]	AnVILTrainingWorkshopsOther	list	"This question was given to every survey taker and possible answers include 1 (Most preferred in this list), 2, 3, 4, 5 (Least preferred in this list)."
"If you ranked \""Other\"" highly for venues you would prefer to attend for training workshops, please specify here."	OtherExamplesAnVILTrainingWorkshops	character	"This question was given to every survey taker and was free response. Some responses are NA or na, either entered by the responder or due to the responder not providing an answer."
Where do you currently run analyses? (Select all that apply)	WhereAnalysesRun	character	"This question was given to every survey taker and multiple answer choices could be selected. If multiple answers were selected, the answers will be comma separated. Possible answers include Personal Computer (locally), Institutional High Performance Computing cluster (HPC), Amazon Web Services (AWS), Google Cloud Platform (GCP), Microsoft Azure, Galaxy (usegalaxy.org), or Other (with free text entry if Other is selected)"
"What repositories are you considering to share data (for example, to comply with the NIH DMS Policy)? (Select all that apply)"	RepositoriesDMS	character	"This question was given to every survey taker and multiple answers could be selected. If multiple answers were selected, the answers will be comma separated. Possible answers include Your institutional repository, Zenodo, AnVIL, I'm not sure what DMS Policy is, or Other (with free text entry if Other is selected)."
What source(s) of funds do you use to pay for cloud computing? (Select all that apply)	FundingSources	character	"This question was given to all survey takers and multiple answers could be selected. If multiple answers were selected, the answers will be comma separated. Possible answers include NHGRI, Other NIH, Foundation Grant, Institutional funds, Don't know, Only use free options, Other (with free text entry if Other is selected)"
Are you willing to be contacted again to give input in the future?	ContactWillingness	character	This question was given to every survey taker. Possible answers include Yes or No.
What email address may we use to contact you in the future?	Email	character	This question was given only to survey takers who responded yes when asked if they were willing to be contacted in the future. It was free text response with the responder providing their email. NA corresponds to survey responses where the question wasn't asked.
